"artist","bdp","bdp_s","beg","beg_s","bsp","bsp_s","cdp","cdp_s","csp","csp_s","ddp","ddp_s","dsp","dsp_s","edp","edp_s","esp","esp_s","konami_id","sa4_id","title"
"mitsu-O!","7","0","3","0","7","0","-1","0","-1","0","9","0","9","0","11","0","11","0","8Il6980di8P89lil1PDIqqIbiq1QO8lQ","0","MAKE IT BETTER"
"180","8","0","4","0","8","0","-1","0","-1","0","13","0","9","0","11","0","11","0","06loOQ0DQb0DqbOibl6qO81qlIdoP9DI","1","PARANOiA"
"DE-SIRE","9","0","3","0","8","0","-1","0","-1","0","10","0","9","0","10","0","10","0","Pb9II0oiI9ODQ8OP8IqIPQP9P68biqIi","2","TRIP MACHINE"
"KTz","8","0","3","0","7","0","-1","0","-1","0","9","0","8","0","10","0","11","0","dq190Il9iO1bD698ll6ddObIlqdIQ1O9","3","AM-3P"
"NAOKI","6","0","3","0","6","0","10","0","10","0","7","0","6","0","9","0","10","0","DblIbDd6lQQQoO9bloOI9iIqO1IiQoID","4","BRILLIANT 2U"
"NAOKI","6","0","4","0","6","0","12","0","12","0","8","0","8","0","9","0","9","0","DbPodlqiOQdD88bo8lPO9D6iql1DO8P0","5","BRILLIANT 2U(Orchestra Groove)"
"e.o.s","6","0","2","0","5","0","-1","0","-1","0","8","0","6","0","11","0","8","0","8liDbidQoI6Q01lO9iibIdboIiDl66Qo","6","e-motion"
"L.E.D.LIGHT","9","0","3","0","6","0","-1","0","-1","0","11","0","8","0","12","0","11","0","Dq0Iio09Pb9iD0lbb0I0qd8Q8i10II09","7","GENOM SCREAMS"
"N.M.R","5","0","4","0","5","0","-1","0","-1","0","9","0","7","0","10","0","9","0","0lDDIlQ91lq6O16q9QQ681d6Db1l0oOb","8","KEEP ON MOVIN'"
"2MB","8","0","4","0","8","0","15","0","15","0","10","0","9","0","10","0","11","0","9doPbId8qid9I9l6ooloPQD1lq1Plb6I","9","PARANOiA KCET 〜clean mix〜"
"190","10","0","5","0","9","0","-1","0","-1","0","12","0","10","0","11","0","12","0","Pl0dPid9lQDo6PDQDqPboPqO6iIDIqoo","10","PARANOiA MAX〜DIRTY MIX〜"
"UZI-LAY","6","0","3","0","5","0","-1","0","-1","0","8","0","6","0","8","0","9","0","DQlQ1DlPbq900oqdOo8l0d6I1lIOl99l","11","PUT YOUR FAITH IN ME"
"DE-SIRE","8","0","4","0","8","0","-1","0","-1","0","9","0","9","0","10","0","10","0","1P9qQdiiodODqQPl0OO88iiiqdoDIPO6","12","SP-TRIP MACHINE〜JUNGLE MIX〜"
"RE-VENGE","8","0","5","0","7","0","-1","0","-1","0","9","0","9","0","13","0","13","0","Pd99DQo0bD9D9oIbPIId18P6l8qlDQO6","13","AFRONOVA"
"NPD3","5","0","1","0","2","0","-1","0","-1","0","6","0","6","0","8","0","8","0","Qo9P1oOoDQIoOb8Dd0PdOdoD1D1Pbd8D","14","AFTER THE GAME OF LOVE"
